match_id,team_won,cluster,game_mode,game_type,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
5283290070.0,1,236,22,7,106,21,64,15,14,129,104,4,26,59
5283290069.0,1,155,22,7,35,5,17,70,14,44,128,41,90,93
5283290068.0,1,131,4,0,6,41,64,67,29,53,57,96,37,46
5283290067.0,-1,184,22,0,14,114,21,74,119,112,26,34,17,44
5283290066.0,1,203,23,0,126,84,1,96,5,55,64,35,42,14
5283290065.0,-1,251,4,0,120,46,106,22,25,42,40,18,129,27
5283290064.0,1,227,22,7,9,94,84,8,20,17,93,108,14,26
5283290063.0,-1,225,3,7,105,49,14,13,18,80,62,17,129,119
5283290062.0,1,184,23,0,51,48,43,44,126,99,128,93,86,40
5283290061.0,-1,191,22,7,1,7,11,61,64,73,107,111,99,114
5283290060.0,-1,188,22,7,31,8,29,25,59,1,14,40,15,84
5283290032.0,1,154,22,7,54,44,71,35,53,1,74,42,101,26
5283290031.0,1,236,3,7,107,95,13,14,129,39,87,102,41,97
5283290030.0,-1,187,22,7,77,37,48,53,98,120,10,30,36,14
5283290029.0,1,155,22,7,86,50,44,14,35,76,49,26,23,59
5283290028.0,1,223,3,7,8,84,94,2,25,19,22,103,23,39
5283290027.0,-1,227,3,7,56,75,106,16,25,17,28,128,93,21
5283290025.0,1,186,22,0,30,59,65,62,7,35,44,46,19,31
5283290024.0,1,152,22,7,54,21,47,42,105,103,14,67,9,17
5283290023.0,-1,155,22,0,60,6,54,30,22,44,19,67,93,11
5283290022.0,-1,186,22,7,94,39,5,10,16,87,4,44,9,8
5283290021.0,1,156,22,7,126,27,70,50,2,114,93,129,74,79
5283290019.0,1,223,3,7,108,36,59,67,75,119,93,99,26,71
5283290018.0,-1,154,22,7,64,26,12,13,87,75,56,79,11,2
5283290017.0,-1,156,4,0,40,70,100,53,84,15,8,96,22,62
5283290016.0,1,183,4,0,55,126,32,69,5,51,94,25,59,19
